dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
18/06/2021,18,6,2021,601,3,Sweden,SE,SWE,10327589,Europe
3/4/2020,3,4,2020,602,80,Sweden,SE,SWE,10327589,Europe
15/04/2020,15,4,2020,604,115,Sweden,SE,SWE,10327589,Europe
21/05/2020,21,5,2020,610,53,Sweden,SE,SWE,10327589,Europe
29/09/2020,29,9,2020,613,2,Sweden,SE,SWE,10327589,Europe
23/05/2021,23,5,2021,620,11,Sweden,SE,SWE,10327589,Europe
29/07/2021,29,7,2021,621,2,Sweden,SE,SWE,10327589,Europe
16/04/2020,16,4,2020,623,111,Sweden,SE,SWE,10327589,Europe
19/07/2021,19,7,2021,628,0,Sweden,SE,SWE,10327589,Europe
1/11/2021,1,11,2021,629,2,Sweden,SE,SWE,10327589,Europe
25/09/2020,25,9,2020,630,4,Sweden,SE,SWE,10327589,Europe
1/10/2020,1,10,2020,633,1,Sweden,SE,SWE,10327589,Europe
30/04/2020,30,4,2020,636,78,Sweden,SE,SWE,10327589,Europe
12/10/2020,12,10,2020,637,3,Sweden,SE,SWE,10327589,Europe
9/4/2020,9,4,2020,645,86,Sweden,SE,SWE,10327589,Europe
1/6/2020,1,6,2020,648,39,Sweden,SE,SWE,10327589,Europe
27/07/2021,27,7,2021,653,0,Sweden,SE,SWE,10327589,Europe
8/4/2020,8,4,2020,654,115,Sweden,SE,SWE,10327589,Europe
28/07/2021,28,7,2021,656,1,Sweden,SE,SWE,10327589,Europe
14/05/2020,14,5,2020,657,46,Sweden,SE,SWE,10327589,Europe
5/5/2020,5,5,2020,657,72,Sweden,SE,SWE,10327589,Europe
19/05/2020,19,5,2020,666,41,Sweden,SE,SWE,10327589,Europe
14/10/2021,14,10,2021,668,4,Sweden,SE,SWE,10327589,Europe
8/6/2020,8,6,2020,677,38,Sweden,SE,SWE,10327589,Europe
21/06/2021,21,6,2021,678,2,Sweden,SE,SWE,10327589,Europe
1/7/2020,1,7,2020,685,15,Sweden,SE,SWE,10327589,Europe
15/06/2020,15,6,2020,685,30,Sweden,SE,SWE,10327589,Europe
30/07/2021,30,7,2021,686,1,Sweden,SE,SWE,10327589,Europe
2/7/2020,2,7,2020,687,15,Sweden,SE,SWE,10327589,Europe
15/05/2020,15,5,2020,688,58,Sweden,SE,SWE,10327589,Europe
30/09/2020,30,9,2020,689,4,Sweden,SE,SWE,10327589,Europe
17/04/2020,17,4,2020,689,83,Sweden,SE,SWE,10327589,Europe
3/7/2020,3,7,2020,694,8,Sweden,SE,SWE,10327589,Europe
17/10/2020,17,10,2020,697,4,Sweden,SE,SWE,10327589,Europe
1/10/2021,1,10,2021,698,5,Sweden,SE,SWE,10327589,Europe
20/06/2020,20,6,2020,698,29,Sweden,SE,SWE,10327589,Europe
13/05/2020,13,5,2020,698,50,Sweden,SE,SWE,10327589,Europe
8/5/2020,8,5,2020,701,60,Sweden,SE,SWE,10327589,Europe
21/04/2020,21,4,2020,707,62,Sweden,SE,SWE,10327589,Europe
