dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp,,
4/6/2021,4,6,2021,2556,73,Italy,IT,ITA,59641488,Europe,,
4/7/2021,4,7,2021,806,12,Italy,IT,ITA,59641488,Europe,,
4/8/2021,4,8,2021,6590,21,Italy,IT,ITA,59641488,Europe,,
4/9/2021,4,9,2021,6156,56,Italy,IT,ITA,59641488,Europe,,
4/10/2021,4,10,2021,1612,37,Italy,IT,ITA,59641488,Europe,,
4/11/2021,4,11,2021,5902,59,Italy,IT,ITA,59641488,Europe,,
4/12/2021,4,12,2021,16627,75,Italy,IT,ITA,59641488,Europe,,
5/1/2021,5,1,2021,15375,649,Italy,IT,ITA,59641488,Europe,,
5/2/2021,5,2,2021,14213,377,Italy,IT,ITA,59641488,Europe,,
5/3/2021,5,3,2021,24010,297,Italy,IT,ITA,59641488,Europe,,
5/4/2021,5,4,2021,10680,296,Italy,IT,ITA,59641488,Europe,,
5/5/2021,5,5,2021,10579,267,Italy,IT,ITA,59641488,Europe,,
5/6/2021,5,6,2021,2434,57,Italy,IT,ITA,59641488,Europe,,
5/7/2021,5,7,2021,480,31,Italy,IT,ITA,59641488,Europe,,
5/8/2021,5,8,2021,7224,27,Italy,IT,ITA,59641488,Europe,,
5/9/2021,5,9,2021,5314,49,Italy,IT,ITA,59641488,Europe,,
5/10/2021,5,10,2021,2463,50,Italy,IT,ITA,59641488,Europe,,
5/11/2021,5,11,2021,6761,51,Italy,IT,ITA,59641488,Europe,,
5/12/2021,5,12,2021,15010,43,Italy,IT,ITA,59641488,Europe,,
6/1/2021,6,1,2021,20326,548,Italy,IT,ITA,59641488,Europe,,
6/2/2021,6,2,2021,13439,385,Italy,IT,ITA,59641488,Europe,,
6/3/2021,6,3,2021,23633,307,Italy,IT,ITA,59641488,Europe,,
6/4/2021,6,4,2021,7763,421,Italy,IT,ITA,59641488,Europe,,
6/5/2021,6,5,2021,11798,258,Italy,IT,ITA,59641488,Europe,,
6/6/2021,6,6,2021,2275,51,Italy,IT,ITA,59641488,Europe,,
6/7/2021,6,7,2021,907,24,Italy,IT,ITA,59641488,Europe,,
6/8/2021,6,8,2021,6599,24,Italy,IT,ITA,59641488,Europe,,
6/9/2021,6,9,2021,3347,52,Italy,IT,ITA,59641488,Europe,,
6/10/2021,6,10,2021,3232,39,Italy,IT,ITA,59641488,Europe,,
6/11/2021,6,11,2021,6760,31,Italy,IT,ITA,59641488,Europe,,
6/12/2021,6,12,2021,9494,92,Italy,IT,ITA,59641488,Europe,,
7/1/2021,7,1,2021,18416,414,Italy,IT,ITA,59641488,Europe,,
7/2/2021,7,2,2021,11640,270,Italy,IT,ITA,59641488,Europe,,
7/3/2021,7,3,2021,20724,207,Italy,IT,ITA,59641488,Europe,,
7/4/2021,7,4,2021,13686,627,Italy,IT,ITA,59641488,Europe,,
7/5/2021,7,5,2021,10549,207,Italy,IT,ITA,59641488,Europe,,
7/6/2021,7,6,2021,1270,65,Italy,IT,ITA,59641488,Europe,,
7/7/2021,7,7,2021,1010,14,Italy,IT,ITA,59641488,Europe,,
7/8/2021,7,8,2021,6897,22,Italy,IT,ITA,59641488,Europe,,
7/9/2021,7,9,2021,4715,71,Italy,IT,ITA,59641488,Europe,,
7/10/2021,7,10,2021,2933,41,Italy,IT,ITA,59641488,Europe,,
7/11/2021,7,11,2021,5822,20,Italy,IT,ITA,59641488,Europe,,
7/12/2021,7,12,2021,15742,99,Italy,IT,ITA,59641488,Europe,,
8/1/2021,8,1,2021,17529,620,Italy,IT,ITA,59641488,Europe,,
8/2/2021,8,2,2021,7969,307,Italy,IT,ITA,59641488,Europe,,
8/3/2021,8,3,2021,13882,318,Italy,IT,ITA,59641488,Europe,,
8/4/2021,8,4,2021,17209,487,Italy,IT,ITA,59641488,Europe,,
8/5/2021,8,5,2021,10174,224,Italy,IT,ITA,59641488,Europe,,
8/6/2021,8,6,2021,1894,102,Italy,IT,ITA,59641488,Europe,,
8/7/2021,8,7,2021,1391,13,Italy,IT,ITA,59641488,Europe,,
8/8/2021,8,8,2021,5733,11,Italy,IT,ITA,59641488,Europe,,
8/9/2021,8,9,2021,5921,69,Italy,IT,ITA,59641488,Europe,,
8/10/2021,8,10,2021,3017,30,Italy,IT,ITA,59641488,Europe,,
8/11/2021,8,11,2021,4547,38,Italy,IT,ITA,59641488,Europe,,
8/12/2021,8,12,2021,17946,86,Italy,IT,ITA,59641488,Europe,,
9/1/2021,9,1,2021,19976,483,Italy,IT,ITA,59641488,Europe,,
9/2/2021,9,2,2021,10612,422,Italy,IT,ITA,59641488,Europe,,
9/3/2021,9,3,2021,19725,376,Italy,IT,ITA,59641488,Europe,,
9/4/2021,9,4,2021,18924,718,Italy,IT,ITA,59641488,Europe,,
9/5/2021,9,5,2021,8289,139,Italy,IT,ITA,59641488,Europe,,
9/6/2021,9,6,2021,2198,77,Italy,IT,ITA,59641488,Europe,,
9/7/2021,9,7,2021,1386,25,Italy,IT,ITA,59641488,Europe,,
9/8/2021,9,8,2021,4200,22,Italy,IT,ITA,59641488,Europe,,
9/9/2021,9,9,2021,5518,59,Italy,IT,ITA,59641488,Europe,,
9/10/2021,9,10,2021,2747,46,Italy,IT,ITA,59641488,Europe,,
9/11/2021,9,11,2021,6111,68,Italy,IT,ITA,59641488,Europe,,
9/12/2021,9,12,2021,12516,79,Italy,IT,ITA,59641488,Europe,,
10/1/2021,10,1,2021,18625,361,Italy,IT,ITA,59641488,Europe,,
10/2/2021,10,2,2021,12947,336,Italy,IT,ITA,59641488,Europe,,
10/3/2021,10,3,2021,22275,332,Italy,IT,ITA,59641488,Europe,,
10/4/2021,10,4,2021,17551,344,Italy,IT,ITA,59641488,Europe,,
10/5/2021,10,5,2021,5077,198,Italy,IT,ITA,59641488,Europe,,
10/6/2021,10,6,2021,2078,88,Italy,IT,ITA,59641488,Europe,,
10/7/2021,10,7,2021,1394,12,Italy,IT,ITA,59641488,Europe,,
10/8/2021,10,8,2021,5624,31,Italy,IT,ITA,59641488,Europe,,
10/9/2021,10,9,2021,5617,62,Italy,IT,ITA,59641488,Europe,,
10/10/2021,10,10,2021,2278,27,Italy,IT,ITA,59641488,Europe,,
10/11/2021,10,11,2021,8033,60,Italy,IT,ITA,59641488,Europe,,
10/12/2021,10,12,2021,20490,118,Italy,IT,ITA,59641488,Europe,,
11/1/2021,11,1,2021,12530,448,Italy,IT,ITA,59641488,Europe,,
11/2/2021,11,2,2021,15137,391,Italy,IT,ITA,59641488,Europe,,
11/3/2021,11,3,2021,25649,373,Italy,IT,ITA,59641488,Europe,,
11/4/2021,11,4,2021,15737,331,Italy,IT,ITA,59641488,Europe,,
11/5/2021,11,5,2021,6943,251,Italy,IT,ITA,59641488,Europe,,
11/6/2021,11,6,2021,1892,69,Italy,IT,ITA,59641488,Europe,,
11/7/2021,11,7,2021,1391,7,Italy,IT,ITA,59641488,Europe,,
11/8/2021,11,8,2021,6921,31,Italy,IT,ITA,59641488,Europe,,
11/9/2021,11,9,2021,5191,57,Italy,IT,ITA,59641488,Europe,,
11/10/2021,11,10,2021,1516,34,Italy,IT,ITA,59641488,Europe,,
11/11/2021,11,11,2021,8697,67,Italy,IT,ITA,59641488,Europe,,
11/12/2021,11,12,2021,21035,96,Italy,IT,ITA,59641488,Europe,,
12/1/2021,12,1,2021,14242,616,Italy,IT,ITA,59641488,Europe,,
12/2/2021,12,2,2021,13893,316,Italy,IT,ITA,59641488,Europe,,
12/3/2021,12,3,2021,26790,380,Italy,IT,ITA,59641488,Europe,,
12/4/2021,12,4,2021,9780,358,Italy,IT,ITA,59641488,Europe,,
12/5/2021,12,5,2021,7848,262,Italy,IT,ITA,59641488,Europe,,
12/6/2021,12,6,2021,1722,52,Italy,IT,ITA,59641488,Europe,,
12/7/2021,12,7,2021,887,13,Italy,IT,ITA,59641488,Europe,,
12/8/2021,12,8,2021,7267,30,Italy,IT,ITA,59641488,Europe,,
12/9/2021,12,9,2021,4664,34,Italy,IT,ITA,59641488,Europe,,
12/10/2021,12,10,2021,2486,49,Italy,IT,ITA,59641488,Europe,,
12/11/2021,12,11,2021,8522,68,Italy,IT,ITA,59641488,Europe,,
12/12/2021,12,12,2021,19212,66,Italy,IT,ITA,59641488,Europe,,
1/1/2022,1,1,2022,141352,111,Italy,IT,ITA,59641488,Europe,,
1/2/2022,1,2,2022,133306,427,Italy,IT,ITA,59641488,Europe,,
2/1/2022,2,1,2022,61041,133,Italy,IT,ITA,59641488,Europe,,
2/2/2022,2,2,2022,119323,395,Italy,IT,ITA,59641488,Europe,,
3/1/2022,3,1,2022,68034,140,Italy,IT,ITA,59641488,Europe,,
3/2/2022,3,2,2022,112956,414,Italy,IT,ITA,59641488,Europe,,
4/1/2022,4,1,2022,170837,259,Italy,IT,ITA,59641488,Europe,,
4/2/2022,4,2,2022,100900,433,Italy,IT,ITA,59641488,Europe,,
5/1/2022,5,1,2022,189088,231,Italy,IT,ITA,59641488,Europe,,
5/2/2022,5,2,2022,93192,375,Italy,IT,ITA,59641488,Europe,,
6/1/2022,6,1,2022,219430,198,Italy,IT,ITA,59641488,Europe,,
6/2/2022,6,2,2022,78943,229,Italy,IT,ITA,59641488,Europe,,
7/1/2022,7,1,2022,108297,223,Italy,IT,ITA,59641488,Europe,,
7/2/2022,7,2,2022,41602,326,Italy,IT,ITA,59641488,Europe,,
8/1/2022,8,1,2022,197535,184,Italy,IT,ITA,59641488,Europe,,
8/2/2022,8,2,2022,102429,415,Italy,IT,ITA,59641488,Europe,,
9/1/2022,9,1,2022,155642,157,Italy,IT,ITA,59641488,Europe,,
9/2/2022,9,2,2022,81669,384,Italy,IT,ITA,59641488,Europe,,
10/1/2022,10,1,2022,117405,227,Italy,IT,ITA,59641488,Europe,,
10/2/2022,10,2,2022,76195,325,Italy,IT,ITA,59641488,Europe,,
11/1/2022,11,1,2022,220519,294,Italy,IT,ITA,59641488,Europe,,
12/1/2022,12,1,2022,196205,313,Italy,IT,ITA,59641488,Europe,,
13/01/2021,13,1,2021,15773,507,Italy,IT,ITA,59641488,Europe,,
13/01/2022,13,1,2022,184577,316,Italy,IT,ITA,59641488,Europe,,
13/02/2021,13,2,2021,13523,311,Italy,IT,ITA,59641488,Europe,,
13/03/2020,13,3,2020,2547,250,Italy,IT,ITA,59641488,Europe,,
13/03/2021,13,3,2021,26031,317,Italy,IT,ITA,59641488,Europe,,
13/04/2020,13,4,2020,3153,566,Italy,IT,ITA,59641488,Europe,,
13/04/2021,13,4,2021,13439,476,Italy,IT,ITA,59641488,Europe,,
13/05/2020,13,5,2020,888,195,Italy,IT,ITA,59641488,Europe,,
13/05/2021,13,5,2021,8082,201,Italy,IT,ITA,59641488,Europe,,
13/06/2020,13,6,2020,346,78,Italy,IT,ITA,59641488,Europe,,
13/06/2021,13,6,2021,1390,26,Italy,IT,ITA,59641488,Europe,,
13/07/2020,13,7,2020,169,13,Italy,IT,ITA,59641488,Europe,,
13/07/2021,13,7,2021,1530,20,Italy,IT,ITA,59641488,Europe,,
13/08/2020,13,8,2020,522,6,Italy,IT,ITA,59641488,Europe,,
13/08/2021,13,8,2021,7398,45,Italy,IT,ITA,59641488,Europe,,
13/09/2020,13,9,2020,1456,7,Italy,IT,ITA,59641488,Europe,,
13/09/2021,13,9,2021,2792,36,Italy,IT,ITA,59641488,Europe,,
13/10/2020,13,10,2020,5898,41,Italy,IT,ITA,59641488,Europe,,
13/10/2021,13,10,2021,2769,37,Italy,IT,ITA,59641488,Europe,,
13/11/2020,13,11,2020,40902,550,Italy,IT,ITA,59641488,Europe,,
13/11/2021,13,11,2021,8539,53,Italy,IT,ITA,59641488,Europe,,
13/12/2020,13,12,2020,17937,484,Italy,IT,ITA,59641488,Europe,,
13/12/2021,13,12,2021,12704,98,Italy,IT,ITA,59641488,Europe,,
14/01/2021,14,1,2021,17243,522,Italy,IT,ITA,59641488,Europe,,
14/01/2022,14,1,2022,200869,360,Italy,IT,ITA,59641488,Europe,,
14/02/2021,14,2,2021,11060,221,Italy,IT,ITA,59641488,Europe,,
14/03/2020,14,3,2020,3497,175,Italy,IT,ITA,59641488,Europe,,
14/03/2021,14,3,2021,21304,264,Italy,IT,ITA,59641488,Europe,,
14/04/2020,14,4,2020,2972,602,Italy,IT,ITA,59641488,Europe,,
14/04/2021,14,4,2021,16160,469,Italy,IT,ITA,59641488,Europe,,
14/05/2020,14,5,2020,992,262,Italy,IT,ITA,59641488,Europe,,
14/05/2021,14,5,2021,7562,182,Italy,IT,ITA,59641488,Europe,,
14/06/2020,14,6,2020,338,44,Italy,IT,ITA,59641488,Europe,,
14/06/2021,14,6,2021,907,36,Italy,IT,ITA,59641488,Europe,,
14/07/2020,14,7,2020,114,17,Italy,IT,ITA,59641488,Europe,,
14/07/2021,14,7,2021,2153,23,Italy,IT,ITA,59641488,Europe,,
14/08/2020,14,8,2020,574,3,Italy,IT,ITA,59641488,Europe,,
14/08/2021,14,8,2021,7181,34,Italy,IT,ITA,59641488,Europe,,
14/09/2020,14,9,2020,1008,14,Italy,IT,ITA,59641488,Europe,,
14/09/2021,14,9,2021,4009,72,Italy,IT,ITA,59641488,Europe,,
14/10/2020,14,10,2020,7332,43,Italy,IT,ITA,59641488,Europe,,
14/10/2021,14,10,2021,2666,40,Italy,IT,ITA,59641488,Europe,,
14/11/2020,14,11,2020,37249,544,Italy,IT,ITA,59641488,Europe,,
14/11/2021,14,11,2021,7565,36,Italy,IT,ITA,59641488,Europe,,
14/12/2020,14,12,2020,12025,491,Italy,IT,ITA,59641488,Europe,,
14/12/2021,14,12,2021,20665,120,Italy,IT,ITA,59641488,Europe,,
